,ID,imdb_id,release_date,budget,revenue,genres,original_language,original_title,origin_country,production_countries name,spoken_languages name
0,748589,tt0137818,2020-10-02,0,0, , , , , , 
1,519035,tt0365545,2018-09-21,0,0,Comedy,English,Nappily Ever After,US,United States of America,English
2,246694,tt0432010,1963-05-03,0,0,Comedy,English,The Queen of Sheba Meets the Atom Man,US,United States of America,English
3,276686,tt0825334,2018-12-10,0,0,Drama,English,Caravaggio and My Mother the Pope,US,United States of America,English
4,555606,tt10009602,2018-04-25,0,0, , , , , , 
5,594385,tt10016428,2019-04-13,0,0,Documentary,Türkçe,Vargit zamani,TR,Turkey,Türkçe
6,579025,tt10021804,2018-07-01,0,0,Documentary,English,Ne travaille pas (1968-2018),FR,France,English
7,529283,tt10022158,2018-06-11,0,0,Documentary,English,Worlds of Ursula K. Le Guin,US,United States of America,English
8,564191,tt10026686,2018-11-18,0,0, , , , , , 
9,604699,tt10027474,,0,0, ,日本語,Onsen Shikabane Geisha, , , 
10,548549,,,0,0, , , , , , 
11,585423,tt10034256,2019-03-04,0,0, , , , , , 
12,551660,,2018-10-12,0,0, ,English,A Short History of a Few Bad Things,PH,Philippines,English
13,687191,tt10037872,2018-12-12,0,0, ,English,Matoma: One in a Million, , , 
14,728000,,2018-07-19,0,0, , , , , , 
15,558229,,2018-11-15,0,0,Drama,Pусский,Облепиховое лето,RU,Russia,Pусский
16,564850,tt10043990,2018-11-29,0,0, ,Español,Lo peor de los deseos, , , 
17,753112,tt10047356,,0,0, , , , , , 
18,687870,,2016-01-01,0,0,Documentary,Català,"Joan Miró, le feu intérieur",FR,France,Català
19,625483,tt10050722,2018-10-24,0,0,Drama,Deutsch,"Fünf Dinge, die ich nicht verstehe",DE,Germany,Deutsch
20,591607,tt10054330,2018-07-01,0,0, , , , , , 
21,454291,tt6781638,2018-03-28,0,0,Documentary,English,Dolphin Reef,GB,United Kingdom,English
22,541236,tt10056028,2018-09-19,0,0,Documentary,Pусский,Фатеич и море,RU,Russia,Pусский
23,603098,tt10062150,2018-11-23,0,0, ,Türkçe,Yücel'in Çiçekleri, , , 
24,631228,tt10066396,2018-01-01,0,0, , , , , , 
25,544478,tt10075070,2018-09-07,0,0, , , , , , 
26,732299,tt10077090,2018-04-06,0,0, ,Español,Verano no miente, , , 
27,523865,,2018-05-11,0,0,Drama,Tiếng Việt,11 Niềm Hy Vọng,VN,Vietnam,Tiếng Việt
28,585714,tt10078502,2018-12-31,0,0,Documentary,English,Stars in the Sky: A Hunting Story,US,United States of America,English
29,538275,,2018-04-06,0,0,Comedy,Tiếng Việt,Yêu Em Bất Chấp,VN,Vietnam,Tiếng Việt
30,594529,tt10084752,2019-03-29,0,0, ,English,American Relapse, , , 
31,629250,tt10085818,2018-09-07,0,0, ,普通话,那条河, , , 
32,579721,,,0,0, , , , , , 
33,552621,tt10106848,2018-10-12,0,0,Comedy,English,Mamu (and a Mother Too),PH,Philippines,English
34,552619,,2018-10-12,0,0, ,,Double Twisting Double Back, , , 
35,536909,tt10109836,2018-07-26,0,0,Documentary,Português,Hilda Hilst Pede Contato,BR,Brazil,Português
36,420311,,2016-10-09,0,0, , , , , , 
37,552617,,2018-10-12,0,0, ,,Asuang, , , 
38,566136,tt10116482,2018-12-01,0,0,Drama,Pусский,Кримська Історія Х,UA,Ukraine,Pусский
39,516342,tt10125578,2018-02-14,0,0, , , , , , 
40,592742,tt10125986,2018-09-29,0,0, ,日本語,私の奴隷になりなさい 第2章 ご主人様と呼ばせてください,JP,Japan,日本語
41,560742,,2018-11-26,0,0,Drama,日本語,Wasted Eggs,JP,Japan,日本語
42,593368,tt10128378,2019-04-12,0,0,Documentary,Polski,Maksymiuk. Koncert na dwoje,PL,Poland,Polski
43,580142,,2019-02-09,0,0, , , , , , 
44,567774,,2018-04-20,0,0,Documentary,Español,"Director Z, el vendedor de ilusiones",ES,Spain,Español
45,587018,tt10140138,2018-03-27,0,0,Comedy,svenska,Krocken,SE,Sweden,svenska
46,518453,tt10140532,2018-04-23,0,0,Documentary,Pусский,INTO_нация Большой Одессы,RU,Russia,Pусский
47,519134,tt10140592,2018-11-13,0,0,Documentary,Português,Quando as Luzes das Marquises Se Apagam: A História da Cinelândia Paulistana,BR,Brazil,Português
48,545693,tt10141736,2018-02-17,0,0, ,Français,"Sag mir nicht, du kannst nicht singen",CH,Switzerland,Français
49,637104,tt6658038,2017-10-14,0,0, , , , , , 
50,569227,,2018-12-21,0,0, , , , , , 
51,592805,tt10147656,2018-11-27,0,0,Documentary,Deutsch,Mehr als nur 90 Minuten,DE,Germany,Deutsch
52,595987,tt10153626,2019-05-06,0,0,Documentary,Português,A Minha Avó Trelotótó,PT,Portugal,Português
53,599760,tt10153730,2019-05-07,0,0,Documentary,Português,Sacavém,PT,Portugal,Português
54,589787,tt10156482,2018-11-30,0,0,Documentary,English,Waiting: The Van Duren Story,AU,Australia,English
55,552978,tt10160686,2018-11-08,0,0, ,English,Hymn: Sarah Brightman In Concert, , , 
56,558112,,2018-10-30,0,0, , , , , , 
57,598917,,,0,0, , , , , , 
58,586971,,2018-11-18,0,0,Documentary,English,Chewdaism: A Taste of Jewish Montreal,CA,Canada,English
59,568586,,,0,0,Documentary,Português,Exteriores - Mulheres Brasileiras na Diplomacia,BR,Brazil,Português
60,615759,tt10177960,2018-10-12,0,0, , , , , , 
61,513780,tt10178280,2018-10-01,0,0,Drama,广州话 / 廣州話,Mangoshake,CA,Canada,广州话 / 廣州話
62,588699,,2018-12-01,0,0,Documentary,普通话,百年很长吗,CN,China,普通话
63,598540,,,0,0, , , , , , 
64,591785,,,0,0, ,Azərbaycan,İkinci Pərdə, , , 
65,515592,tt10203276,2018-09-06,0,0,Drama,Español,El año del león,AR,Argentina,Español
66,601197,tt10207850,2019-05-12,0,0,Thriller,English,Killer Grandma,US,United States of America,English
67,631526,tt10213480,,0,0, , , , , , 
68,562962,,2018-11-18,0,0, , , , , , 
69,649920,tt10217930,2019-12-12,0,0,Drama,Nederlands,Wiren,SR,Suriname,Nederlands
70,348149,tt1538816,2009-01-01,0,0,Music,English,D'une rive à l'autre,CA,Canada,English
71,586113,,2018-12-07,0,0, ,,Aamrityu,IN,India,
72,318333,,2007-02-19,0,0, , , , , , 
73,520396,,2018-04-27,2500,0, , , , , , 
74,746593,tt10230450,,0,0, , , , , , 
75,536456,,,0,0, , , , , , 
76,509881,tt10238116,2018-03-06,0,0, , , , , , 
77,681211,tt10240752,2018-12-21,0,0,Drama,日本語,書くが、まま,JP,Japan,日本語
78,489130,,2018-10-31,0,0, , , , , , 
79,599367,tt10252064,2018-11-02,0,0,Horror,普通话,Can't See Me Love You,CN,China,普通话
80,639013,tt10255880,2018-05-01,0,0, , , , , , 
81,524930,,2018-05-18,0,0, ,普通话,罪途3之正义规则, , , 
82,669739,tt10270944,2018-10-25,0,0, , , , , , 
83,605139,tt10274598,2019-05-21,0,0, , , , , , 
84,400933,tt3778616,2016-06-04,0,0,Documentary,English,Political Animals,US,United States of America,English
85,544921,,2017-01-01,0,0, , , , , , 
86,738358,,,0,0,History,Français,Quand Vichy espionnait les Français,FR,France,Français
87,582251,tt10294344,2018-06-23,0,0,Thriller,日本語,可愛い悪魔,JP,Japan,日本語
88,570342,,2018-12-21,0,0,Comedy,English,Last Podcast on the Left:  Live in Chicago,US,United States of America,English
89,567317,,2018-10-01,0,0, ,普通话,The Adventure of Afanti, , , 
90,557781,tt10322172,2018-09-10,0,0, ,English,Hacker's Game Redux, , , 
91,587500,,2019-02-27,0,0, , , , , , 
92,602145,,2018-08-11,1000,2000, , , , , , 
93,531015,,2018-01-01,0,0, ,Italiano,Come vincere la guerra,IT,Italy,Italiano
94,544761,,2018-08-24,0,0,Horror,తెలుగు,Anthaku Minchi,IN,India,తెలుగు
95,706212,tt10326932,,0,0,Documentary,Italiano,Via San Cipriano,DE,Germany,Italiano
96,712863,,,0,0, ,हिन्दी,Dhaakad,IN,India,हिन्दी
97,519615,,2018-04-19,0,0,Documentary,Español,Hombre en la Llanura,AR,Argentina,Español
98,616825,tt10332416,2018-08-03,100,0, , , , , , 
99,574148,,,0,0,Documentary,English,Out of Plastic,ES,Spain,English
100,545724,,2019-01-01,0,0,Documentary,Nederlands,Van verlies kun je niet betalen,NL,Netherlands,Nederlands
101,567575,,2018-11-13,0,0,Family,Français,Nicolas Noël: Les livres des enfants du monde,CA,Canada,Français
102,608559,tt10334770,,0,0, , , , , , 
103,574156,,2018-09-22,0,0, ,,Anori,GL,Greenland,
104,236999,tt0151562,1945-04-13,0,0, , , , , , 
105,722281,,,0,0, , , , , , 
106,572517,,2018-10-10,0,0, ,广州话 / 廣州話,好友,CN,China,广州话 / 廣州話
107,564132,tt10360970,2018-11-01,0,0,Documentary,English,Our Most Brilliant Friends,GB,United Kingdom,English
108,604143,tt10369580,2018-12-14,0,0, ,普通话,来日方长, , , 
109,503345,tt10375952,2018-02-06,0,0,Horror,Bahasa indonesia,Nini Thowok,ID,Indonesia,Bahasa indonesia
