,ID,imdb_id,release_date,budget,revenue,genres,original_language,original_title,origin_country,production_countries name,spoken_languages name
3,504562,tt0385887,2019-10-31,26000000,18377736,Drama,English,Motherless Brooklyn,US,United States of America,English
17,586776,tt10011102,2019-03-08,1000,1000,Action,हिन्दी,The Sholay Girl,IN,India,हिन्दी
418,2897,tt0048960,1956-10-17,6000000,42000000,Adventure,English,Around the World in Eighty Days,US,United States of America,English
455,453405,tt1025100,2019-10-02,138000000,173469516,Action,English,Gemini Man,CN,China,English
464,606952,tt10256570,2019-12-19,4000000,8277796,Drama,Italiano,La dea fortuna,IT,Italy,Italiano
511,613538,tt10276554,2019-08-29,1100000,162640,War,Український,Іловайськ 2014. Батальйон Донбас,UA,Ukraine,Український
986,289,tt0034583,1942-11-26,878000,10462500,Drama,Deutsch,Casablanca,US,United States of America,Deutsch
1131,619265,tt10555920,2019-10-31,13000000,13000000, ,English,The Cabin House, , , 
1389,618869,tt10706724,2019-07-27,748,850,Horror,No Language,Afflatus,AT,Austria,No Language
1476,109417,tt1532958,2013-09-21,20000000,16549477,Music,English,Battle of the Year,US,United States of America,English
1539,628637,tt10809934,2019-09-23,10000,100000,Horror,English,The Dark Days of Demetrius,US,United States of America,English
1610,397675, , , , , , , , , , 
1618,615137,tt10871460,2019-08-29,1413543,1862261,Fantasy,普通话,第九分局,TW,Taiwan,普通话
1713,679670,tt10918524,2019-10-08,25000,50000, , , , , , 
1747,630331,tt10931434,2019-09-06,46,5, , , , , , 
1754,673680,tt10942220,2020-02-17,1753,9907, ,,Kabaddi Kabaddi Kabaddi, , , 
1885,15691,tt0116118,1996-05-12,5000000,42000000,TV Movie,English,Doctor Who,CA,Canada,English
1916,8618,tt0464049,2006-10-02,4000000,13401952,Comedy,English,The History Boys,GB,United Kingdom,English
2067,679675,tt11123206,,25000,75000,Documentary,English,Love on Demand,GB,United Kingdom,English
2297,679681,tt11254246,,10000,40000, , , , , , 
2404,679672,tt11341572,,25000,70000, , , , , , 
2607,659153,tt11529348,2019-12-27,1500000,1489573, ,Română,5Gang: Un Altfel de Crăciun, , , 
2820,522938,tt1206885,2019-09-19,50000000,91490353,Action,English,Rambo: Last Blood,CN,China,English
2828,570608, , , , , , , , , , 
2838,692664,tt12098452,2019-12-11,1000,1080,Comedy,English,The Doors Between Us,US,United States of America,English
2909,10215,tt0120148,1998-04-23,6000000,58000000,Comedy,English,Sliding Doors,GB,United Kingdom,English
3096,738883,tt13260472,2019-11-01,5000,6000, ,English,How To Ensure Safe Internet, , , 
3106,522924,tt1478839,2019-08-08,18000000,33766787,Comedy,English,The Art of Racing in the Rain,US,United States of America,English
3108,505600,tt1489887,2019-05-24,6000000,24849029,Comedy,English,Booksmart,US,United States of America,English
3110,338967,tt1560220,2019-10-09,42000000,122801777,Horror,English,Zombieland: Double Tap,US,United States of America,English
3114,477428,tt1667354,2019-09-12,7838798,579026,Drama,Český,Nabarvené ptáče,SK,Slovakia,Český
3125,454458,tt1946502,2019-05-01,45000000,27530241,Animation,English,UglyDolls,CA,Canada,English
