,tconst,release_date,budget,revenue,genres,original_language,origin_country,production_countries name,spoken_languages name,Profit%
61,tt4088268,2016-03-03,5210000,5900000,Crime,Dansk,DK,Denmark,Dansk,13.24
62,tt4094724,2016-06-29,10000000,118587880,Action,English,FR,France,English,1085.88
63,tt4232188,2016-11-11,25000,5000,Horror,Français,LU,Luxembourg,Français,-80.0
64,tt4257926,2016-03-17,16000000,73983359,Drama,English,US,United States of America,English,362.4
65,tt4258698,2016-08-26,1500000,6512004,Romance,English,US,United States of America,English,334.13
66,tt4262516,2016-02-12,3056472,4472886,Drama,हिन्दी,IN,India,हिन्दी,46.34
67,tt4262980,2016-07-29,15000000,77947607,Action,Italiano,JP,Japan,Italiano,419.65
68,tt4302938,2016-08-18,60000000,69929545,Animation,English,US,United States of America,English,16.55
69,tt4334266,2017-06-23,6000000,180851,Drama,English,US,United States of America,English,-96.99
70,tt4341582,2016-09-23,15000000,10367161,Drama,English,US,United States of America,English,-30.89
71,tt4353996,2016-09-29,7500000,9100000,Action,Dansk,NO,Norway,Dansk,21.33
72,tt4361050,2016-10-20,9000000,81705746,Horror,English,US,United States of America,English,807.84
73,tt4385888,2016-12-28,7000000,5664764,Drama,English,US,United States of America,English,-19.07
74,tt4429194,2016-09-12,5000000,6700000,Romance,English,US,United States of America,English,34.0
75,tt4434004,2016-06-17,5980000,14900000,Action,हिन्दी,IN,India,हिन्दी,149.16
76,tt4438848,2016-05-04,35000000,108758521,Comedy,English,US,United States of America,English,210.74
77,tt4468634,2016-09-25,2000000,1215691,Drama,English,US,United States of America,English,-39.22
78,tt4471388,2016-01-07,2570000,4026795,Action,Pусский,RU,Russia,Pусский,56.68
79,tt4486986,2016-09-14,30000000,646946,Mystery,English,US,United States of America,English,-97.84
80,tt4501244,2016-12-22,38000000,118034273,Comedy,English,US,United States of America,English,210.62
81,tt4540710,2016-11-25,13000000,9101546,Drama,English,FR,France,English,-29.99
82,tt4550098,2016-11-04,22500000,29252978,Drama,English,US,United States of America,English,30.01
83,tt4643432,2016-06-15,3500000,1492523,Drama,English,FR,France,English,-57.36
84,tt4651410,2016-07-15,10500000,100659,Action,English,CA,Canada,English,-99.04
85,tt4667094,2016-01-28,20000000,21164799,Romance,English,US,United States of America,English,5.82
86,tt4682786,2016-12-06,36000000,88528280,Drama,English,US,United States of America,English,145.91
87,tt4687848,2016-12-23,50000000,102205175,Action,日本語,CN,China,日本語,104.41
88,tt4698684,2016-03-31,2500000,23200000,Adventure,English,NZ,New Zealand,English,828.0
89,tt4714782,2016-10-19,6000000,1305195,Drama,svenska,BE,Belgium,svenska,-78.25
90,tt4726636,2016-05-13,8104734,920719,Comedy,Français,BE,Belgium,Français,-88.64
91,tt4730838,2016-12-25,4873880,5296102,Music,Norsk,NL,Netherlands,Norsk,8.66
92,tt4731136,2017-02-15,40000000,26559557,Horror,English,DE,Germany,English,-33.6
93,tt4771896,2016-09-09,1200000,1813729,Thriller,Español,ES,Spain,Español,51.14
94,tt4846340,2016-12-10,25000000,230698791,Drama,English,US,United States of America,English,822.8
95,tt4853102,2016-07-24,3500000,3775000,Action,English,US,United States of America,English,7.86
96,tt4857264,2016-09-22,4000000,30000000,Mystery,Español,ES,Spain,Español,650.0
97,tt4914580,2016-09-07,9620000,53165427,Action,English,KR,South Korea,English,452.66
98,tt4939066,2016-07-27,12700000,49196532,History,English,KR,South Korea,English,287.37
99,tt4944596,2016-10-28,4000000,1598584,Thriller,Español,ES,Spain,Español,-60.04
100,tt4950110,2016-10-21,1500000,2000000,Drama,English,US,United States of America,English,33.33
101,tt4981636,2016-10-07,8500000,23316139,Family,English,US,United States of America,English,174.31
102,tt0082398,1981-06-23,28000000,195312802,Adventure,ελληνικά,GB,United Kingdom,ελληνικά,597.55
103,tt5069022,2017-04-07,2000,20000,Romance,English,US,United States of America,English,900.0
104,tt5071886,2016-07-22,18700000,74000000,Action,தமிழ்,IN,India,தமிழ்,295.72
105,tt5077538,2016-12-28,7230000,1453270,Comedy,Français,CA,Canada,Français,-79.9
106,tt5091538,2016-11-01,12156348,7900000,War,Français,BE,Belgium,Français,-35.01
107,tt5096536,2016-11-01,10000000,3176,Drama,Deutsch,BE,Belgium,Deutsch,-99.97
108,tt5108476,2016-12-09,15500000,9600000,Romance,हिन्दी,IN,India,हिन्दी,-38.06
109,tt5119678,,10,11, ,English, , , ,10.0
110,tt5122374,2016-05-04,19201483,17000172,Comedy,Español,AR,Argentina,Español,-11.46
111,tt5141848,2016-07-11,10000,10000,Action,فارسی,IR,Iran,فارسی,0.0
112,tt5142216,2016-10-26,1200,4300, , , , , ,258.33
113,tt5197544,2016-09-09,7400000,9100000,Action,हिन्दी,IN,India,हिन्दी,22.97
114,tt5198844,2016-02-18,1500000,2500000, ,Pусский, , , ,66.67
115,tt5286444,2016-02-19,2900000,17618280,Drama,हिन्दी,IN,India,हिन्दी,507.53
116,tt5290524,2016-01-01,11089000,75173000,Comedy,Italiano,IT,Italy,Italiano,577.91
117,tt5297140,2016-11-11,520000,1500000,Romance,اردو,PK,Pakistan,اردو,188.46
118,tt5297256,2016-10-07,3800000,29000000,Action,,IN,India,,663.16
119,tt5310090,2016-01-28,300000,2100000,Action,हिन्दी,IN,India,हिन्दी,600.0
120,tt5320514,2016-02-04,300000,2500000,Action,,IN,India,,733.33
121,tt5333612,2016-09-08,1600000,4800000,Comedy,اردو,PK,Pakistan,اردو,200.0
122,tt5340522,2016-01-15,3000000,10000000,Drama,తెలుగు,IN,India,తెలుగు,233.33
123,tt5423310,2016-01-28,1230920,3569670,Drama,Bahasa melayu,MY,Malaysia,Bahasa melayu,190.0
124,tt5431016,2016-01-28,39307171,37070177,Drama,Português,BR,Brazil,Português,-5.69
125,tt5447140,2016-03-03,500,500,Mystery,한국어/조선말,KR,South Korea,한국어/조선말,0.0
126,tt5457722,2016-05-20,11000000,10000000,Family,తెలుగు,IN,India,తెలుగు,-9.09
127,tt5457772,2016-04-08,7503564,19059053,Action,తెలుగు,IN,India,తెలుగు,154.0
128,tt5458364,2016-05-27,300000,300000,Comedy,,IN,India,,0.0
129,tt5492684,2016-03-01,10000,2000, , , , , ,-80.0
130,tt0287717,2002-08-07,38000000,119723358,Action,English,US,United States of America,English,215.06
131,tt5529392,2016-02-11,6000000,11600000,Comedy,Português,BR,Brazil,Português,93.33
132,tt5548032,2016-09-08,1000000,10000000,Thriller,,IN,India,,900.0
133,tt0243415,2000-10-31,600000,173599, ,English, , , ,-71.07
134,tt5646136,2016-07-15,5000000,13000000,History,English,US,United States of America,English,160.0
135,tt5662932,2016-06-24,521873,1013926,Thriller,हिन्दी,IN,India,हिन्दी,94.29
136,tt0222850,2000-02-01,1000000,1744858,Comedy,English,US,United States of America,English,74.49
137,tt5671248,2017-05-19,1,25, , , , , ,2400.0
138,tt5736696,2016-12-19,35112500,36360000,Action,Français,FR,France,Français,3.55
139,tt5804038,2017-02-03,1000000,7123919,Documentary,English,BE,Belgium,English,612.39
140,tt5824826,2016-07-29,200000,5500000,Romance,తెలుగు,IN,India,తెలుగు,2650.0
141,tt5855378,2016-07-30,165000,2350000,Documentary,English,US,United States of America,English,1324.24
142,tt5893524,2016-11-24,1500000,650000, ,English, , , ,-56.67
143,,,1000,1000, ,বাংলা,IN,India,বাংলা,0.0
144,tt5946128,2016-11-23,4300000,3376375,Drama,हिन्दी,IN,India,हिन्दी,-21.48
145,tt5953594,2016-08-12,4200000,6900000,Action,தமிழ்,IN,India,தமிழ்,64.29
146,tt5998104,2016-10-21,450000,2300000,Adventure,English,IN,India,English,411.11
147,tt0096332,1988-02-05,17000000,10006806,Comedy,English,US,United States of America,English,-41.14
148,tt6044910,2016-09-30,30200000,173000000,Action,,HK,Hong Kong,,472.85
149,tt6054758,2016-12-30,562680,7033500,Comedy,?????,IN,India,?????,1150.0
150,tt6118820,2016-09-29,30000,200000, ,Português, , , ,566.67
151,tt6186430,2016-12-25,300000,4160000,Comedy,,PH,Philippines,,1286.67
152,tt6211418,2016-08-17,80000,80000,Drama,فارسی,IR,Iran,فارسی,0.0
153,tt0086006,1983-10-07,36000000,160000000,Adventure,English,DE,Germany,English,344.44
154,tt6248178,2016-11-18,500,20,Comedy,Türkçe,TR,Turkey,Türkçe,-96.0
155,tt0368794,2007-10-01,20000000,4001121,Drama,English,US,United States of America,English,-79.99
156,tt6286666,2016-12-01,1500000,6900000,Thriller,தமிழ்,IN,India,தமிழ்,360.0
157,tt6302160,2016-12-07,13938145,30169000,Thriller,한국어/조선말,KR,South Korea,한국어/조선말,116.45
159,tt0470705,2007-02-21,4000000,8095658,Drama,English,DE,Germany,English,102.39
160,tt4643580,2015-09-04,5300000,9080818,Animation,Español,MX,Mexico,Español,71.34
161,,2016-11-10,500000,119836,Comedy,Pусский,RU,Russia,Pусский,-76.03
162,tt6487540,2016-10-30,150000,500000,Family,English,LK,Sri Lanka,English,233.33
163,tt0790686,2008-08-15,35000000,72436439,Horror,English,RO,Romania,English,106.96
164,tt0120815,1998-07-24,70000000,481840909,Drama,Český,US,United States of America,Český,588.34
165,tt7232940,2016-12-01,638,638, , , , , ,0.0
166,tt7286250,2016-11-16,250000,400000, ,العربية, , , ,60.0
167,tt7880648,,50000,260000, ,English, , , ,420.0
168,tt7960962,2016-10-11,50000,50000,Documentary,Español,ES,Spain,Español,0.0
169,tt5474042,2017-05-18,7445000,12805400,Drama,Deutsch,IN,India,Deutsch,72.0
0,tt0491175,2017-10-26,25000000,5775178,Thriller,English,GB,United Kingdom,English,-76.9
1,tt0491203,2017-07-13,25000000,3425664,Drama,English,GB,United Kingdom,English,-86.3
2,tt5699154,2017-10-04,17200000,23800000,Comedy,Français,FR,France,Français,38.37
3,tt0112471,1995-01-27,2500000,5535405,Drama,English,AT,Austria,English,121.42
4,tt0306841,2003-05-02,17000000,55534455,Family,English,US,United States of America,English,226.67
5,tt0115433,1996-11-17,54000000,320689294,Comedy,English,GB,United Kingdom,English,493.87
6,tt1293847,2017-01-13,85000000,346147658,Action,English,CA,Canada,English,307.23
7,tt1389072,2017-12-22,68000000,55003890,Comedy,Norsk,US,United States of America,Norsk,-19.11
8,tt1412528,2017-03-03,5000000,5042014,Comedy,English,US,United States of America,English,0.84
9,tt1485796,2017-12-20,84000000,432844677,Drama,English,US,United States of America,English,415.29
10,tt1667321,2018-01-19,745971,3335913,Drama,English,GB,United Kingdom,English,347.19
11,tt1724970,2017-10-20,20000000,992181,Action,English,US,United States of America,English,-95.04
12,tt1730768,2017-03-31,20000000,26152835,Drama,English,CZ,Czech Republic,English,30.76
13,tt1790809,2017-05-23,230000000,794861794,Adventure,English,US,United States of America,English,245.59
14,tt1961175,2017-09-14,33000000,66167951,Action,العربية,HK,Hong Kong,العربية,100.51
15,tt1972591,2017-05-10,175000000,148675066,Action,English,US,United States of America,English,-15.04
16,tt1981128,2017-10-13,120000000,221600160,Action,English,US,United States of America,English,84.67
17,tt2091256,2017-06-01,38000000,125289450,Action,English,US,United States of America,English,229.71
