,tconst,primaryTitle,startYear,Metascore,imdbRating,imdbVotes,Title
6,tt0116991,Mariette in Ecstasy,2019,N/A,7.8,26,Mariette in Ecstasy
12,tt0276132,The Fetishist,2019,N/A,N/A,N/A,The Fetishist
14,tt0279481,Travel Daze,2019,N/A,N/A,N/A,Travel Daze
17,tt0305295,Bich bozhiy,2019,N/A,5.8,9,Bich bozhiy
30,tt0374682,"Gombrowicz, l'Argentine et moi",2019,N/A,N/A,N/A,"Gombrowicz, l'Argentine et moi"
32,tt0385887,Motherless Brooklyn,2019,60,6.8,"36,929",Motherless Brooklyn
36,tt0437086,Alita: Battle Angel,2019,53,7.3,"219,679",Alita: Battle Angel
37,tt0441881,Danger Close,2019,N/A,6.8,"8,350",Danger Close
39,tt0448115,Shazam!,2019,71,7.1,"244,525",Shazam!
55,tt0783640,The Last Full Measure,2019,51,6.7,"5,776",The Last Full Measure
58,tt0800325,The Dirt,2019,39,7.0,"38,042",The Dirt
61,tt0810836,Dirt Music,2019,35,5.2,232,Dirt Music
67,tt0837563,Pet Sematary,2019,57,5.7,"77,884",Pet Sematary
70,tt0846775,Cine Manifest,2019,N/A,6.4,9,Cine Manifest
74,tt0858419,Bolden,2019,50,5.6,424,Bolden
90,tt10001116,Mistero di un Impiegato,2019,N/A,N/A,N/A,Mistero di un Impiegato
91,tt10001870,Disrupted Land,2019,N/A,N/A,N/A,Disrupted Land
93,tt10002654,Pattabhiraman,2019,N/A,7.3,686,Pattabhiraman
95,tt10003782,Moments of Resistance,2019,N/A,N/A,N/A,Moments of Resistance
96,tt10003792,Adalat,2019,N/A,N/A,N/A,Adalat
97,tt10003806,Jadugar 2,2019,N/A,N/A,N/A,Jadugar 2
98,tt10003978,Fiddler: A Miracle of Miracles,2019,80,7.1,232,Fiddler: A Miracle of Miracles
99,tt10003990,Child of Wisdom,2019,N/A,N/A,N/A,Child of Wisdom
100,tt10004074,Ali the Blind Boxer,2019,N/A,N/A,N/A,Ali the Blind Boxer
102,tt10004372,Soccer in the City,2019,N/A,N/A,N/A,Soccer in the City
104,tt10004574,Paradise,2019,N/A,N/A,N/A,Paradise
105,tt10004944,Aporia,2019,N/A,7.0,62,Aporia
106,tt10005030,Where Were You,2019,N/A,N/A,N/A,Where Were You
109,tt10005378,"In Their Own Words, Billy the Kid & The Lincoln County War",2019,N/A,N/A,N/A,"In Their Own Words, Billy the Kid & The Lincoln County War"
111,tt10005864,Barof 2019,2019,N/A,N/A,N/A,Barof 2019
112,tt10006006,A Christmas Prince: The Royal Baby,2019,N/A,5.3,"3,862",A Christmas Prince: The Royal Baby
114,tt10006122,Debout,2019,N/A,6.5,13,Debout
115,tt10006156,Krishnam,2019,N/A,N/A,N/A,Krishnam
116,tt10006270,Hunting Season,2019,N/A,6.0,33,Hunting Season
118,tt10006276,He's My Daddy Too,2019,N/A,N/A,N/A,He's My Daddy Too
120,tt10007268,Mesto!,2019,N/A,N/A,N/A,Mesto!
121,tt10007352,Sifir: Etkisiz Eleman,2019,N/A,N/A,N/A,Sifir: Etkisiz Eleman
122,tt10007820,On the Trail of Bigfoot,2019,N/A,6.6,50,On the Trail of Bigfoot
124,tt10007978,Terror in the Skies,2019,N/A,6.0,66,Terror in the Skies
125,tt10008304,"In Our Blood - El Comienzo de Todo, Àlex Crivillé",2019,N/A,N/A,N/A,"In Our Blood - El Comienzo de Todo, Àlex Crivillé"
126,tt10008602,"In Our Blood - Sin Límite, Marc Márquez",2019,N/A,N/A,N/A,"In Our Blood - Sin Límite, Marc Márquez"
127,tt10008784,Bull,2019,65,6.7,"1,582",Bull
128,tt10008996,Troublemaker,2019,N/A,N/A,N/A,Troublemaker
129,tt10009030,Snatchers,2019,N/A,5.7,"2,278",Snatchers
130,tt10009098,Willie,2019,N/A,N/A,N/A,Willie
131,tt10009342,Trouble Makers,2019,N/A,N/A,N/A,Trouble Makers
132,tt10009434,Family Obligations,2019,N/A,4.7,226,Family Obligations
134,tt10009878,Encrypted: The Cyber Crime,2019,N/A,N/A,N/A,Encrypted: The Cyber Crime
136,tt10009978,Bigger Like Me (Extended Director's Cut),2019,N/A,N/A,N/A,Bigger Like Me (Extended Director's Cut)
137,tt10010368,The Australian Dream,2019,N/A,7.5,540,Australian Dream
138,tt10010748,Mossville: When Great Trees Fall,2019,N/A,N/A,N/A,Mossville: When Great Trees Fall
141,tt10010950,Rocky Mountains Encounter,2019,N/A,N/A,N/A,Rocky Mountains Encounter
142,tt10011102,The Sholay Girl,2019,N/A,7.7,85,The Sholay Girl
