,ID,imdb_id,release_date,budget,revenue,genres,original_language,original_title,origin_country,production_countries name,spoken_languages name
1253,275601,tt3623726,2015-07-10,18000000,41325328,Comedy,English,Ricki and the Flash,US,United States of America,English
1259,348537,tt3626742,2015-11-20,4500000,38482411,Comedy,English,Ocho apellidos catalanes,ES,Spain,English
1267,268689,tt3633118,2015-03-26,10000000,1921923,Fantasy,English,Wicked Flying Monkeys,MX,Mexico,English
1330,296098,tt3682448,2015-10-15,40000000,165478348,Thriller,Pусский,Bridge of Spies,IN,India,Pусский
1387,282984,tt3715320,2015-07-17,11000000,27391084,Drama,English,Irrational Man,US,United States of America,English
1402,328589,tt3722070,2015-11-13,6000000,41387687,Comedy,English,The Lady in the Van,GB,United Kingdom,English
1421,362045,tt3735246,2015-12-18,19500000,56000000,War,हिन्दी,बाजीराव मस्तानी,IN,India,हिन्दी
1462,320588,tt3766394,2015-11-27,1000000,14659448,Comedy,English,"Hello, My Name Is Doris",US,United States of America,English
1493,301351,tt3787590,2015-08-26,6000000,11122090,Drama,English,We Are Your Friends,GB,United Kingdom,English
1519,336050,tt3808342,2015-06-11,1000000,1777043,War,Deutsch,Saul fia,HU,Hungary,Deutsch
1541,303857,tt3819668,2015-04-18,5000000,61768190,Action,日本語,ドラゴンボールZ 復活の「F」,JP,Japan,日本語
1558,335223,tt3830222,2015-10-30,3,2,Thriller,English,Savage High,US,United States of America,English
1608,348892,tt3863552,2015-07-17,13000000,150000000,Action,हिन्दी,बजरंगी भाईजान,IN,India,हिन्दी
1774,289222,tt1730768,2017-03-31,20000000,26152835,Drama,English,The Zookeeper's Wife,CZ,Czech Republic,English
1844,294254,tt4046784,2015-09-09,61000000,312296056,Action,English,Maze Runner: The Scorch Trials,US,United States of America,English
1860,370964,tt4057376,2015-12-04,18000000,1776333,Fantasy,Pусский,Он - дракон,RU,Russia,Pусский
1873,359790,tt4061010,2015-10-03,8000000,16458,Thriller,English,Blackway,US,United States of America,English
1993,338065,tt4110568,2015-06-04,13000000,22000000,Drama,हिन्दी,दिल धड़कने दो,IN,India,हिन्दी
2057,374931,tt4142012,2015-04-05,32500,35000,Drama,,އެންމެ ފަހުވިންދާ ޖެހެންދެން,MV,Maldives,
2058,320316,tt4142022,2015-01-29,1816720,4541800,Comedy,Italiano,Italiano medio,IT,Italy,Italiano
2142,318917,tt4176826,2015-10-08,3196621,25513752,Comedy,Deutsch,Er ist wieder da,DE,Germany,Deutsch
2208,452958,,,5,10, ,,Lokmanya - Ek Yugpurush, , , 
2260,300983,tt4258292,2015-02-06,7900000,16000000,Thriller,தமிழ்,என்னை அறிந்தால்,IN,India,தமிழ்
2279,329135,tt4271820,2015-04-16,940000,5100000,Romance,,ஓ காதல் கண்மணி,IN,India,
2289,299824,tt4276752,2015-12-18,37000000,278300000,Action,普通话,寻龙诀,CN,China,普通话
2305,336808,tt4285496,2015-05-25,1400000,1320005,Drama,Català,El abrazo de la serpiente,AR,Argentina,Català
