,ID,imdb_id,release_date,budget,revenue,genres,original_language,original_title,origin_country,production_countries name,spoken_languages name
76,103800,tt0111625,1994-08-05,0,0, ,हिन्दी,Vijaypath,IN,India,हिन्दी
77,348383,,2015-07-10,0,0, , , , , , 
78,336029,tt1135989,2015-09-03,4000000,572212,Drama,עִבְרִית,A Tale of Love and Darkness,US,United States of America,עִבְרִית
79,713221,tt11369288,2015-11-06,0,0, ,हिन्दी,Karlo Timepass Yaar, , , 
80,535978,,2016-06-20,0,0, ,Português,A Saga da Alma de um Poeta,BR,Brazil,Português
81,417585,,2015-09-03,0,0, ,한국어/조선말,미션: 톱스타를 훔쳐라,KR,South Korea,한국어/조선말
82,501528,,2016-03-31,0,0, ,日本語,結城家の眠り,JP,Japan,日本語
83,346771,tt4736116,2014-01-01,0,0, ,English,Feminists Insha'allah! The Story of Arab Feminism,FR,France,English
84,436201,tt11536640,2017-01-20,0,0, , , , , , 
85,387862,,2015-08-20,0,0,Horror,Bahasa indonesia,Palasik,ID,Indonesia,Bahasa indonesia
86,453747,,2015-12-10,0,0,Horror,Bahasa indonesia,Penghuni Lain,ID,Indonesia,Bahasa indonesia
87,696070,,2020-08-13,0,10759,Horror,Pусский,Атакан. Кровавая легенда,RU,Russia,Pусский
88,631638,tt10963910,2019-08-22,20,1500, , , , , , 
89,558101,,,0,0, , , , , , 
90,674465,,,0,0, , , , , , 
91,457604,,2015-07-30,0,0,Drama,Bahasa indonesia,Catatan Akhir Kuliah,ID,Indonesia,Bahasa indonesia
92,353335,tt11646086,2015-07-30,0,0,Comedy,Bahasa indonesia,99% Muhrim - Get Married 5,ID,Indonesia,Bahasa indonesia
93,388480,,2015-10-22,0,0,Drama,Bahasa indonesia,Air Mata Surga,ID,Indonesia,Bahasa indonesia
94,395696,,2015-09-17,0,0,Comedy,Bahasa indonesia,Komedi Moderen Gokil,ID,Indonesia,Bahasa indonesia
95,359156,tt1167611,2015-09-08,0,0,Crime,Italiano,Non essere cattivo,IT,Italy,Italiano
96,709131,tt11691052,2015-03-19,0,0, ,日本語,飄々～拝啓、大塚康生様～, , , 
97,380753,,2015-09-10,0,0,Romance,Bahasa indonesia,Bidadari Terakhir,ID,Indonesia,Bahasa indonesia
98,755453,tt11792570,2015-12-03,0,0, , , , , , 
99,396942,tt0008233,1917-06-08,0,0,Drama,Español,"La luz, tríptico de la vida moderna",MX,Mexico,Español
100,674843,,2015-08-17,0,0, , , , , , 
101,512306,tt1440158,,0,0, , , , , , 
102,676820,tt11853532,2018-10-31,0,0, ,English,Freedom for Asia Bibi, , , 
103,366594,,2015-11-04,0,0,Comedy,Français,Jeff Panacloc perd le contrôle !,FR,France,Français
104,325020,tt1355548,2009-01-19,300000,0, , , , , , 
105,431852,,2016-05-27,0,0, , , , , , 
106,384556,,2015-10-18,0,0, , , , , , 
107,61484,tt0398103,2004-02-06,0,0,Documentary,English,Hiding and Seeking,US,United States of America,English
108,373801,tt5306880,2015-10-18,0,0,Documentary,Français,Back to the Present: The Special,FR,France,Français
109,280391,tt1220911,2015-04-08,0,0,Adventure,Français,Pourquoi j'ai pas mangé mon père,FR,France,Français
110,699247,tt12216434,2015-12-17,0,0,Comedy,Español,Cha3Dmubi,AR,Argentina,Español
111,335595,,2015-04-10,0,0,Comedy,Français,Les Chevaliers du Fiel - Municipaux 2.0,FR,France,Français
112,366996,,2015-10-01,0,0, , , , , , 
113,331588,tt1226766,2015-10-05,5000000,0,Comedy,English,The Great Gilly Hopkins,US,United States of America,English
114,622135,tt12270402,2015-06-15,0,0,Documentary,English,Chelsea FC - Season Review 2014/15,GB,United Kingdom,English
115,310137,tt1230213,2015-06-26,0,0,Thriller,English,Bound to Vengeance,US,United States of America,English
116,594428,,2015-08-07,0,0,Documentary,Pусский,Хуциев. Мотор идёт!,RU,Russia,Pусский
117,369721,,2015-11-23,0,0, , , , , , 
118,479447,,2015-04-15,0,0, , , , , , 
119,347755,tt1236254,2015-10-16,0,0,Action,English,Wind Walkers,US,United States of America,English
120,644793,,2015-06-13,0,0, , , , , , 
121,624131,,2015-01-01,0,0, , , , , , 
122,697981,,2014-12-15,0,0, ,English,Hitler The Junkie,GB,United Kingdom,English
123,429527,,2015-06-18,0,0,Documentary,Español,Columnas quebradas,ES,Spain,Español
124,537042,tt12491856,2015-03-06,0,0, ,日本語,人狼 処刑ゲーム,JP,Japan,日本語
125,523785,tt12492660,2015-11-26,0,0,Comedy,普通话,机器情人,CN,China,普通话
126,376115,tt12496076,2015-08-07,0,0, , , , , , 
127,715041,tt12502290,2015-08-17,0,0, , , , , , 
128,384101,,2016-02-27,0,0,Crime,,Sekyu,PH,Philippines,
129,329829,tt1254322,2015-12-11,0,0,Drama,English,The Girl King,CA,Canada,English
130,718130,tt12543778,,0,0, , , , , , 
131,541485,,2015-03-10,0,0,Comedy,Bahasa melayu,一路有僵尸,MY,Malaysia,Bahasa melayu
132,273933,tt2134184,2011-01-01,0,0, , , , , , 
133,560933,tt8768326,2018-11-02,0,0, , , , , , 
134,555065,,2015-05-07,0,0,Adventure,Pусский,Владыка времени,RU,Russia,Pусский
135,722502,tt12640866,2015-07-16,0,0, ,Português,Dissecando Antonieta, , , 
136,484288,,2015-02-19,4000,3000,Drama,English,Republic of Dreams,NL,Netherlands,English
137,465040,,2015-08-15,0,0,Drama,,ഉത്തരചെമ്മീൻ,IN,India,
138,749948,tt12662826,,0,0, , , , , , 
139,444272,tt12763158,2015-01-25,0,0,Documentary,English,Feguibox,GQ,Equatorial Guinea,English
140,650160,,2014-08-08,0,0, , , , , , 
141,426133,tt1853538,1975-05-15,0,0, , , , , , 
142,453783,,2015-08-20,0,0, , , , , , 
143,344865,,2015-03-06,0,0, , , , , , 
144,734266,,2015-12-03,0,0, ,English,Yolngu Homeland, , , 
145,689955,,2015-08-17,0,0,Drama,فارسی,Aseman-e Abi-e Madaram,IR,Iran,فارسی
146,496674,,2015-05-21,0,0,Horror,Bahasa indonesia,Dejavu: Ajian Puter Giling,ID,Indonesia,Bahasa indonesia
147,324321,,2015-01-02,0,0, , , , , , 
148,278401,,,0,0, , , , , , 
149,330413,,2015-02-13,0,0, , , , , , 
150,223106,tt1301304,2012-12-01,500000,0,Horror,English,The Haunting of Pearson Place,US,United States of America,English
151,458584,,2015-10-18,0,0, ,日本語,(Not) Perfect Human, , , 
152,347330,,2015-06-26,0,0, , , , , , 
153,270775,,2015-07-03,0,0, , , , , , 
154,371180,,2015-10-07,0,0, , , , , , 
