,ID
0,540873
1,368103
2,353326
3,306819
4,252838
5,392597
6,404972
7,315635
8,336088
9,602875
10,386874
11,600482
12,366791
13,321304
14,676953
15,321883
16,181283
17,512164
18,476726
19,642084
20,426923
21,380491
22,360283
23,694106
24,641937
25,676950
26,383429
27,601060
28,385870
29,438311
30,752562
31,483910
32,564016
33,111084
34,726014
35,709208
36,371759
37,290656
38,97517
39,663738
40,663738
41,318651
42,569993
43,83154
44,647600
45,553148
46,462865
47,549249
48,567393
49,321514
50,344369
51,319888
52,608955
53,630747
54,586136
55,498682
56,472886
57,678569
58,496599
59,348421
60,360280
61,346382
62,639166
63,678553
64,332332
65,703756
66,618500
67,527124
68,426469
69,325778
70,460105
71,86408
72,326203
73,743957
74,475018
75,363299
76,103800
77,348383
78,336029
79,713221
80,535978
81,417585
82,501528
83,346771
84,436201
85,387862
86,453747
87,696070
88,631638
89,558101
90,674465
91,457604
92,353335
93,388480
94,395696
95,359156
96,709131
97,380753
98,755453
99,396942
100,674843
101,512306
102,676820
103,366594
104,325020
105,431852
106,384556
107,61484
108,373801
109,280391
110,699247
111,335595
112,366996
113,331588
114,622135
115,310137
116,594428
117,369721
118,479447
119,347755
120,644793
121,624131
122,697981
123,429527
124,537042
125,523785
126,376115
127,715041
128,384101
129,329829
130,718130
131,541485
132,273933
133,560933
134,555065
135,722502
136,484288
137,465040
138,749948
139,444272
140,650160
141,426133
142,453783
143,344865
144,734266
145,689955
146,496674
147,324321
148,278401
149,330413
150,223106
151,458584
152,347330
153,270775
154,371180
155,415122
156,359621
157,361756
158,371933
159,363182
160,370467
161,384552
162,400771
163,367981
164,260635
165,365338
166,401312
167,335805
168,372849
169,282491
170,67532
171,426323
172,322348
173,263758
174,238876
175,474938
176,17501
177,277944
178,80832
179,755170
180,87101
181,277968
182,435422
183,115874
184,76341
185,277216
186,325365
187,462221
188,437547
189,467659
190,363890
191,157544
192,324314
193,412682
194,387999
195,318846
196,156981
197,228345
198,106845
199,274854
200,300792
201,293863
202,366566
203,330669
204,551761
205,319070
206,128450
207,553802
208,244316
209,339161
210,121869
211,330220
212,246127
213,259749
214,289560
215,171037
216,335310
217,86828
218,273477
219,332977
220,248574
221,427301
222,204473
223,321779
224,274504
225,336405
226,345684
227,351960
228,300686
229,309919
230,256924
231,335849
232,319074
233,367420
234,198184
235,387911
236,366269
237,423530
238,251267
239,300155
240,404586
241,335663
242,407968
243,356161
244,378062
245,509108
246,597024
247,84181
248,412329
249,94365
250,308389
251,326542
252,179966
253,527020
254,321275
255,211580
256,370218
257,331010
258,366159
259,354624
260,188621
261,157422
262,298043
263,340190
264,689486
265,652893
266,301228
267,137211
268,633829
269,255322
270,514971
271,325123
272,292300
273,262973
274,326806
275,86685
276,320366
277,167049
278,355019
279,542217
280,289705
281,327651
282,342502
283,372362
284,647569
285,529026
286,264382
287,227281
288,384158
289,361022
290,461913
291,248549
292,139319
293,360898
294,618120
295,455677
296,400121
297,410515
298,191975
299,407897
300,323626
301,405778
302,228203
303,291264
304,387892
305,86835
306,264736
307,293970
308,373312
309,442173
310,328473
311,174751
312,336211
313,680271
314,208943
315,363103
316,370729
317,416150
318,258147
319,308421
320,411945
321,325542
322,356187
323,324340
324,395023
325,329556
326,426606
327,350904
328,321549
329,296025
330,367094
331,312316
332,293247
333,241554
334,326333
335,463337
336,371077
337,352327
338,361617
339,287284
340,290762
341,339225
342,313307
343,331963
344,634057
345,350052
346,509253
347,340183
348,277713
349,345775
350,307153
351,322746
352,264999
353,1403
354,306854
355,395319
356,333348
357,228165
358,291405
359,312788
360,699617
361,19961
362,313089
363,749578
364,700094
365,343409
366,338781
367,347835
368,333783
369,521052
370,399271
371,568729
372,360188
373,490086
374,245846
375,562028
376,325111
377,325879
378,325883
379,487498
380,311226
381,362998
382,309242
383,364010
384,424122
385,514793
386,314690
387,400726
388,320879
389,382405
390,414763
391,262542
392,344066
393,407741
394,339999
395,177677
396,369777
397,185470
398,329408
399,372789
400,335147
401,99861
402,345287
403,291270
404,345863
405,387729
406,324256
407,304357
408,394760
409,715246
410,696199
411,346031
412,653946
413,289716
414,337876
415,372258
416,392003
417,318954
418,326910
419,227719
420,312152
421,321530
422,350505
423,345993
424,325758
425,227973
426,356632
427,380738
428,367686
429,323429
430,483294
431,333865
432,332312
433,486605
434,146301
435,291851
436,353049
437,418683
438,308361
439,37352
440,358982
441,140607
442,366273
443,308504
444,294963
445,230070
446,374618
447,331737
448,336268
449,691212
450,374762
451,518753
452,287525
453,359107
454,333287
455,200708
456,510545
457,343724
458,336132
459,291904
460,339355
461,331735
462,34873
463,612665
464,283596
465,510366
466,268238
467,318054
468,381214
469,310001
470,320065
471,436164
472,328937
473,307125
474,487757
475,411098
476,228294
477,435836
478,308369
479,389824
480,371618
481,306547
482,510521
483,101731
484,357837
485,419328
486,382259
487,344491
488,320736
489,310567
490,497833
491,309013
492,365673
493,340209
494,329750
495,256040
496,662852
497,258444
498,320703
499,491134
500,365118
501,676954
502,277353
503,635695
504,355582
505,364085
506,622372
507,348580
508,314678
509,486164
510,404350
511,362478
512,391436
513,401056
514,322646
515,588402
516,353599
517,338896
518,343666
519,259838
520,411644
521,249070
522,374901
523,176074
524,328408
525,469917
526,264398
527,355579
528,510549
529,335585
530,499417
531,214256
532,315081
533,335231
534,336926
535,639408
536,397347
537,340216
538,330214
539,285210
540,361240
541,653873
542,356334
543,228205
544,546904
545,333595
546,362129
547,253288
548,323792
549,329289
550,415485
551,389323
552,279144
553,583898
554,366967
555,432434
556,660031
557,398586
558,463033
559,335732
560,335244
561,325746
562,355712
563,477321
564,343242
565,377861
566,332738
567,276839
568,315009
569,495876
570,375733
571,326246
572,323051
573,330982
574,418744
575,358926
576,298721
577,327411
578,336295
579,363842
580,457402
581,305747
582,356325
583,596537
584,324320
585,270642
586,293254
587,427172
588,102628
589,595
590,350362
591,409324
592,324289
593,363439
594,651849
595,334159
596,338794
597,404051
598,323053
599,309245
600,366254
601,324262
602,350839
603,323694
604,30508
605,325131
606,316347
607,421567
608,359767
609,248633
610,262500
611,438181
612,325524
613,341077
614,581350
615,343658
616,228968
617,412848
618,391998
619,403593
620,407386
621,351425
622,370381
623,356335
624,332660
625,385654
626,397137
627,287948
628,336699
629,340195
630,355383
631,674603
632,325039
633,339342
634,362610
635,300666
636,354288
637,433580
638,338080
639,340742
640,627815
641,326059
642,346443
643,325712
644,337083
645,372593
646,321923
647,258509
648,350779
649,316654
650,339145
651,324325
652,376563
653,314359
654,348896
655,310568
656,317945
657,243752
658,403710
659,344939
660,349676
661,573903
662,333327
663,368576
664,338614
665,17922
666,305991
667,277387
668,288386
669,507453
670,361025
671,323270
672,329655
673,371266
674,340243
675,720273
676,361077
677,664485
678,210860
679,490962
680,348689
681,381108
682,234599
683,40549
684,362457
685,275684
686,372787
687,385377
688,328032
689,333989
690,417716
691,319173
692,302810
693,692263
694,267955
695,438338
696,338928
697,344464
698,369809
699,325348
700,462645
701,364257
702,358721
703,327894
704,333097
705,341044
706,331161
707,363425
708,332918
709,366734
710,314665
711,433386
712,316051
713,333594
714,345257
715,405120
716,345227
717,273419
718,365886
719,414065
720,350641
721,337623
722,335127
723,352360
724,364865
725,565910
726,356636
727,407579
728,429855
729,335327
730,269071
731,578515
732,353446
733,343999
734,352966
735,216529
736,395235
737,449849
738,332365
739,387396
740,323966
741,308077
742,365172
743,337944
744,324174
745,269577
746,321249
747,518151
748,488874
749,499591
750,328748
751,197841
752,426328
753,329527
754,278821
755,365397
756,439221
757,363168
758,316067
759,343371
760,343934
761,718908
762,363016
763,628159
764,443428
765,324986
766,376809
767,331351
768,515336
769,417256
770,499279
771,385327
772,233490
773,373321
774,403199
775,362552
776,408817
777,712906
778,278247
779,467435
780,323703
781,361428
782,336886
783,339065
784,366664
785,253414
786,253050
787,288036
788,328901
789,280996
790,366278
791,485850
792,354887
793,429673
794,592473
795,347669
796,339725
797,384481
798,377362
799,335490
800,438515
801,250124
802,335683
803,328216
804,364143
805,265323
806,351015
807,470328
808,327096
809,360285
810,303854
811,361191
812,306562
813,215031
814,335661
815,609004
816,324183
817,353190
818,437306
819,356486
820,274109
821,306207
822,347956
823,344591
824,390999
825,611079
826,340753
827,581331
828,376010
829,326198
830,263456
831,325755
832,375345
833,324073
834,310919
835,336130
836,709356
837,419053
838,382126
839,459395
840,628889
841,362448
842,69767
843,355499
844,303689
845,332445
846,578174
847,510371
848,365810
849,382007
850,324307
851,299710
852,342212
853,368005
854,398179
855,391813
856,332347
857,472119
858,331740
859,482119
860,354143
861,479854
862,362230
863,397242
864,340881
865,471909
866,295595
867,614821
868,351182
869,384308
870,333284
871,361021
872,338050
873,342776
874,355166
875,360284
876,728115
877,419542
878,348754
879,329006
880,364831
881,336833
882,337398
883,333377
884,347528
885,326126
886,324253
887,352334
888,323679
889,386207
890,326136
891,441716
892,378523
893,299551
894,742351
895,336937
896,339191
897,306952
898,737943
899,347973
900,462874
901,254736
902,334536
903,337965
904,402438
905,431640
906,342474
907,318032
908,116023
909,499437
910,319188
911,730341
912,339152
913,366194
914,646390
915,330847
916,355890
917,324285
918,321668
919,311301
920,401611
921,364743
922,476438
923,338590
924,327122
925,700848
926,500163
927,506735
928,320298
929,261392
930,476684
931,348191
932,658902
933,425284
934,356189
935,251387
936,353324
937,513404
938,561402
939,331378
940,235692
941,384351
942,311744
943,646117
944,367197
945,552314
946,335869
947,307602
948,533106
949,730102
950,342208
951,337758
952,326948
953,340119
954,502364
955,2960
956,299525
957,447140
958,416798
959,338478
960,353267
961,356901
962,345874
963,333812
964,540775
965,347187
966,325669
967,569880
968,331436
969,365342
970,528046
971,323664
972,322148
973,381695
974,358893
975,333089
976,366255
977,298036
978,632732
979,274861
980,291537
981,678568
982,322266
983,362563
984,43751
985,348955
986,362065
987,340227
988,488790
989,323788
990,404133
991,404851
992,322878
993,316822
994,326256
995,334026
996,333858
997,257441
998,323901
999,362396
1000,505458
1001,298865
1002,253406
1003,296130
1004,364153
1005,337342
1006,284460
1007,321548
1008,252596
1009,361075
1010,345758
1011,331116
1012,335650
1013,23972
1014,402633
1015,358719
1016,258539
1017,397334
1018,407550
1019,326215
1020,361474
1021,322238
1022,325347
1023,324283
1024,249688
1025,345068
1026,346558
1027,510588
1028,287861
1029,560885
1030,246821
1031,340357
1032,578087
1033,619228
1034,352099
1035,504674
1036,243708
1037,656682
1038,312131
1039,333555
1040,345469
1041,324184
1042,332153
1043,404449
1044,339258
1045,314563
1046,346761
1047,320295
1048,227964
1049,353898
1050,313371
1051,369019
1052,296449
1053,345003
1054,381218
1055,577620
1056,335902
1057,602446
1058,319069
1059,343814
1060,331159
1061,273248
1062,376006
1063,339062
1064,433476
1065,615792
1066,539228
1067,407298
1068,323369
1069,366510
1070,347064
1071,430125
1072,312669
1073,466347
1074,308987
1075,521921
1076,336026
1077,346347
1078,337207
1079,740096
1080,370236
1081,347096
1082,451344
1083,332609
1084,428148
1085,512640
1086,337073
1087,334053
1088,560811
1089,371442
1090,653288
1091,339367
1092,398756
1093,324731
1094,509942
1095,317981
1096,294642
1097,359314
1098,578368
1099,604012
1100,325138
1101,335891
1102,337213
1103,309186
1104,312793
1105,362343
1106,361974
1107,340835
1108,642359
1109,339934
1110,341045
1111,361588
1112,374846
1113,320436
1114,359666
1115,402455
1116,324316
1117,310119
1118,656944
1119,359471
1120,362440
1121,319067
1122,355737
1123,344227
1124,338852
1125,339076
1126,361203
1127,330008
1128,329576
1129,599323
1130,322467
1131,393939
1132,324303
1133,369974
1134,374764
1135,356758
1136,420130
1137,362267
1138,378373
1139,355571
1140,337173
1141,309298
1142,378415
1143,332179
1144,333167
1145,496195
1146,527653
1147,318914
1148,337260
1149,419768
1150,333867
1151,352201
1152,298432
1153,358923
1154,331473
1155,358238
1156,512540
1157,30351
1158,329697
1159,459469
1160,327260
1161,329604
1162,488596
1163,391615
1164,422999
1165,340172
1166,325179
1167,280877
1168,326193
1169,360770
1170,335590
1171,339002
1172,319996
1173,411557
1174,426202
1175,382996
1176,404413
1177,337663
1178,340255
1179,308640
1180,515602
1181,322270
1182,366864
1183,581664
1184,384495
1185,349012
1186,335633
1187,348153
1188,372821
1189,328483
1190,340286
1191,457984
1192,555287
1193,288916
1194,347758
1195,641337
1196,743419
1197,332718
1198,564121
1199,328951
1200,355395
1201,555332
1202,691620
1203,546705
1204,361620
1205,318124
1206,326124
1207,299822
1208,382584
1209,543357
1210,267853
1211,476635
1212,389460
1213,347097
1214,375713
1215,348213
1216,338381
1217,328087
1218,403256
1219,161343
1220,328448
1221,343856
1222,345235
1223,452204
1224,314404
1225,334918
1226,323619
1227,450043
1228,349795
1229,343284
1230,342021
1231,404024
1232,508507
1233,380304
1234,318043
1235,339327
1236,370687
1237,362306
1238,298031
1239,670903
1240,405197
1241,269585
1242,356311
1243,266639
1244,315509
1245,321679
1246,360328
1247,342571
1248,360817
1249,324300
1250,354776
1251,286565
1252,412427
1253,275601
1254,350827
1255,309521
1256,333888
1257,362583
1258,328932
1259,348537
1260,308449
1261,348294
1262,700825
1263,415978
1264,315443
1265,334935
1266,415044
1267,268689
1268,328488
1269,353728
1270,425366
1271,347106
1272,345720
1273,365413
1274,414657
1275,353641
1276,403724
1277,319998
1278,327474
1279,382139
1280,477168
1281,377185
1282,324820
1283,341430
1284,368076
1285,315865
1286,495049
1287,356900
1288,332978
1289,748251
1290,308674
1291,336271
1292,266241
1293,315061
1294,394414
1295,326242
1296,337863
1297,324080
1298,352179
1299,339319
1300,331110
1301,323016
1302,328931
1303,319374
1304,714673
1305,278677
1306,419347
1307,336911
1308,581407
1309,326271
1310,337960
1311,278736
1312,332600
1313,326402
1314,502873
1315,372354
1316,339077
1317,363423
1318,344039
1319,318131
1320,283127
1321,499445
1322,361138
1323,323315
1324,488201
1325,699378
1326,337958
1327,273870
1328,280881
1329,273866
1330,296098
1331,465032
1332,358451
1333,462502
1334,359713
1335,479384
1336,337115
1337,321666
1338,315049
1339,375959
1340,361251
1341,285135
1342,291189
1343,311539
1344,358927
1345,335067
1346,393966
1347,100167
1348,335396
1349,321133
1350,510499
1351,465198
1352,653297
1353,272678
1354,336180
1355,283827
1356,380436
1357,379007
1358,337210
1359,297721
1360,381484
1361,334028
1362,330221
1363,348898
1364,339669
1365,339148
1366,343660
1367,327824
1368,315076
1369,339739
1370,335576
1371,295490
1372,320028
1373,323373
1374,321974
1375,324586
1376,402097
1377,321813
1378,425296
1379,459189
1380,544366
1381,595097
1382,333112
1383,643079
1384,510752
1385,502392
1386,651642
1387,282984
1388,327536
1389,750196
1390,350036
1391,318211
1392,319975
1393,325410
1394,340225
1395,329005
1396,579824
1397,334531
1398,331354
1399,338399
1400,347660
1401,378085
1402,328589
1403,349111
1404,407293
1405,353743
1406,521855
1407,371250
1408,44236
1409,407634
1410,463339
1411,323665
1412,386661
1413,303273
1414,342169
1415,340349
1416,295171
1417,407575
1418,369539
1419,338100
1420,290637
1421,362045
1422,320587
1423,359341
1424,340595
1425,381590
1426,633532
1427,316873
1428,323396
1429,272297
1430,407696
1431,314388
1432,342182
1433,546335
1434,396965
1435,385397
1436,337474
1437,364230
1438,339751
1439,335909
1440,324764
1441,378331
1442,393444
1443,295048
1444,344641
1445,365424
1446,600031
1447,329601
1448,315846
1449,401449
1450,332679
1451,358913
1452,359770
1453,384874
1454,630473
1455,505063
1456,333350
1457,378442
1458,338261
1459,366885
1460,470861
1461,331007
1462,320588
1463,374722
1464,366324
1465,385581
1466,365173
1467,311215
1468,337923
1469,422649
1470,458769
1471,541362
1472,338668
1473,364433
1474,371899
1475,372368
1476,455272
1477,339193
1478,328993
1479,350675
1480,317931
1481,527070
1482,503196
1483,349069
1484,398597
1485,318047
1486,380699
1487,378379
1488,681413
1489,401178
1490,428660
1491,510600
1492,397405
1493,301351
1494,363383
1495,342690
1496,333360
1497,300644
1498,333378
1499,330764
1500,458808
1501,597876
1502,324353
1503,522283
1504,334088
1505,321191
1506,393022
1507,320586
1508,338234
1509,381918
1510,333778
1511,353345
1512,411653
1513,319787
1514,332849
1515,464697
1516,350547
1517,356314
1518,337603
1519,336050
1520,325690
1521,349441
1522,363283
1523,325124
1524,317938
1525,392553
1526,359678
1527,342281
1528,361255
1529,332604
1530,326133
1531,423787
1532,355872
1533,316898
1534,557971
1535,358905
1536,293771
1537,352720
1538,662162
1539,299715
1540,326865
1541,303857
1542,364708
1543,331638
1544,280090
1545,630533
1546,354472
