,ID
0,748589
1,519035
2,246694
3,276686
4,555606
5,594385
6,579025
7,529283
8,564191
9,604699
10,548549
11,585423
12,551660
13,687191
14,728000
15,558229
16,564850
17,753112
18,687870
19,625483
20,591607
21,454291
22,541236
23,603098
24,631228
25,544478
26,732299
27,523865
28,585714
29,538275
30,594529
31,629250
32,579721
33,552621
34,552619
35,536909
36,420311
37,552617
38,566136
39,516342
40,592742
41,560742
42,593368
43,580142
44,567774
45,587018
46,518453
47,519134
48,545693
49,637104
50,569227
51,592805
52,595987
53,599760
54,589787
55,552978
56,558112
57,598917
58,586971
59,568586
60,615759
61,513780
62,588699
63,598540
64,591785
65,515592
66,601197
67,631526
68,562962
69,649920
70,348149
71,586113
72,318333
73,520396
74,746593
75,536456
76,509881
77,681211
78,489130
79,599367
80,639013
81,524930
82,669739
83,605139
84,400933
85,544921
86,738358
87,582251
88,570342
89,567317
90,557781
91,587500
92,602145
93,531015
94,544761
95,706212
96,712863
97,519615
98,616825
99,574148
100,545724
101,567575
102,608559
103,574156
104,236999
105,722281
106,572517
107,564132
108,604143
109,503345
110,702339
111,582475
112,554370
113,742366
114,754133
115,555203
116,503510
117,622246
118,605444
119,504054
120,732108
121,562680
122,563120
123,605109
124,745961
125,591077
126,589444
127,611016
128,641667
129,649343
130,438543
131,607635
132,689760
133,524077
134,517080
135,710461
136,555344
137,516297
138,499557
139,599367
140,705464
141,543211
142,570808
143,593816
144,617913
145,588699
146,539600
147,683422
148,604354
149,498582
150,518834
151,549555
152,608079
153,36209
154,731130
155,545223
156,651245
157,469916
158,593578
159,508774
160,524881
161,613666
162,518102
163,594014
164,18897
165,405259
166,523359
167,393358
168,36275
169,693334
170,552936
171,510055
172,408323
173,705797
174,508756
175,530829
176,569017
177,521617
178,570878
179,525468
180,518824
181,604143
182,529445
183,685980
184,632444
185,688702
186,595609
187,542650
188,633732
189,519001
190,605120
191,527772
192,628360
193,656331
194,519104
195,511939
196,521162
197,665371
198,624336
199,68822
200,554635
201,703017
202,602059
203,584064
204,26562
205,579271
206,539998
207,512550
208,628527
209,604955
210,600705
211,741144
212,566748
213,604911
214,623759
215,585806
216,555912
217,563367
218,619960
219,521276
220,617122
221,542516
