,tconst,primaryTitle,startYear,Metascore,imdbRating,imdbVotes,Title
1,tt0072306,Toula ou Le génie des eaux,2017,N/A,6.4,8,Toula ou Le génie des eaux
3,tt0100275,The Wandering Soap Opera,2017,N/A,6.7,112,The Wandering Soap Opera
5,tt0112502,Bigfoot,2017,N/A,3.6,25,Bigfoot
7,tt0137204,Joe Finds Grace,2017,N/A,N/A,N/A,Joe Finds Grace
20,tt0326716,5-25-77,2017,N/A,6.1,299,5-25-77
22,tt0331314,Bunyan and Babe,2017,N/A,5.0,330,Bunyan and Babe
24,tt0339736,The Evil Within,2017,N/A,5.6,"2,960",The Evil Within
40,tt0451201,Clawed,2017,N/A,6.0,25,Clawed
41,tt0451279,Wonder Woman,2017,76,7.4,"539,038",Wonder Woman
42,tt0460890,The Only Living Boy in New York,2017,33,6.3,"10,959",The Only Living Boy in New York
48,tt0491175,Suburbicon,2017,42,5.7,"39,414",Suburbicon
49,tt0491203,Tulip Fever,2017,38,6.2,"17,911",Tulip Fever
51,tt0493405,Chips,2017,28,6.0,"41,838",Chips
52,tt0498381,Rings,2017,25,4.5,"37,139",Rings
65,tt0835802,Krystal,2017,39,5.4,"1,096",Krystal
77,tt0874268,The Dot Man,2017,N/A,7.4,44,The Dot Man
85,tt0937225,Joe Dick,2017,N/A,6.1,19,Joe Dick
87,tt0974015,Justice League,2017,45,6.3,"373,512",Justice League
92,tt10001940,Chalu Dya Tumcha,2017,N/A,N/A,N/A,Chalu Dya Tumcha
101,tt10004118,The Truth: Lost at Sea,2017,N/A,N/A,N/A,The Truth: Lost at Sea
140,tt10010820,Green Brothers,2017,N/A,N/A,N/A,Green Brothers
144,tt10011164,Chhand Priticha,2017,N/A,N/A,N/A,Chhand Priticha
145,tt10011206,Dhingana,2017,N/A,N/A,N/A,Dhingana
148,tt10011238,Happy Birthday,2017,N/A,N/A,N/A,Happy Birthday
173,tt10012854,P.O.W. Open Air am Meer,2017,N/A,N/A,N/A,P.O.W. Open Air am Meer
176,tt10013288,The Promise,2017,N/A,N/A,N/A,The Promise
205,tt10017460,Egise Taara Juvvalu,2017,N/A,N/A,N/A,Egise Taara Juvvalu
208,tt10017546,Ila Ayithe Ela,2017,N/A,N/A,N/A,Ila Ayithe Ela
