,tconst,primaryTitle,startYear,Metascore,imdbRating,imdbVotes,Title
389,tt10051124,Crossing the river of life,2018,N/A,N/A,N/A,Crossing the river of life
395,tt10052452,Jeremiah's Woods,2018,N/A,N/A,N/A,Jeremiah's Woods
399,tt10054198,Vogel Lost Vogel,2018,N/A,N/A,N/A,Vogel Lost Vogel
400,tt10054330,I Miss Oromia,2018,N/A,N/A,N/A,I Miss Oromia
407,tt10055028,Dolphin Reef,2018,79,7.5,778,Dolphin Reef
413,tt10056028,Fatei and the sea,2018,N/A,N/A,N/A,Fatei and the sea
414,tt10056070,Das Bürgermeistermädchen,2018,N/A,N/A,N/A,Das Bürgermeistermädchen
418,tt10056330,Rotenberg,2018,N/A,N/A,N/A,Rotenberg
419,tt10056334,Octubre,2018,N/A,N/A,N/A,Octubre
423,tt10056564,La fin da la val l'è mia la fin dal mund,2018,N/A,N/A,N/A,La fin da la val l'è mia la fin dal mund
437,tt10059624,Heinz,2018,N/A,6.0,28,Heinz
440,tt10060902,Second Hand Store Horror Tales,2018,N/A,N/A,N/A,Second Hand Store Horror Tales
444,tt10062150,Yücel'in Çiçekleri,2018,N/A,8.8,10,Yücel'in Çiçekleri
445,tt10062286,Lustrum,2018,N/A,5.8,20,Lustrum
456,tt10063078,Antropofaga Makumba,2018,N/A,N/A,N/A,Antropofaga Makumba
459,tt10063976,Knock Down,2018,N/A,N/A,N/A,Knock Down
475,tt10066396,Dr Prasad c/o sitara,2018,N/A,N/A,N/A,Dr Prasad c/o sitara
479,tt10066646,Agaton,2018,N/A,N/A,N/A,Agaton
504,tt10073458,But What Was She Wearing?,2018,N/A,N/A,N/A,But What Was She Wearing?
518,tt10074540,Paracelso,2018,N/A,N/A,N/A,Paracelso
523,tt10075070,Os Jovens Baumann,2018,N/A,5.6,22,Os Jovens Baumann
529,tt10075574,Une vie d'Annette,2018,N/A,N/A,N/A,Une vie d'Annette
533,tt10075748,Brother's Good Wife,2018,N/A,N/A,N/A,Brother's Good Wife
544,tt10077090,Verano no miente,2018,N/A,N/A,N/A,Verano no miente
548,tt10077600,The Construction of 'Singapore' in Singapore Cinema,2018,N/A,N/A,N/A,The Construction of 'Singapore' in Singapore Cinema
555,tt10078138,11 Hopes,2018,N/A,N/A,N/A,11 Hopes
559,tt10078502,Stars in the Sky: A Hunting Story,2018,N/A,9.5,11,Stars in the Sky: A Hunting Story
565,tt10078822,Here Comes the Sun,2018,N/A,N/A,N/A,Here Comes the Sun
568,tt10078900,Freej Al Taibeen,2018,N/A,N/A,N/A,Freej Al Taibeen
570,tt10079398,Legends Never Die: The Sandlot Story,2018,N/A,N/A,N/A,Legends Never Die: The Sandlot Story
571,tt10079698,Attack in LA,2018,N/A,3.8,52,Attack in LA
574,tt10079986,Shimanto -The Peaceful Death,2018,N/A,N/A,N/A,Shimanto -The Peaceful Death
579,tt10080276,Restoring Tomorrow: Rise Above,2018,N/A,N/A,N/A,Restoring Tomorrow: Rise Above
580,tt10080834,Yêu Em Bât Châp,2018,N/A,N/A,N/A,Yêu Em Bât Châp
600,tt10081380,Amalu,2018,N/A,N/A,N/A,Amalu
614,tt10083622,Biserta. Storia a spirale,2018,N/A,N/A,N/A,Biserta. Storia a spirale
625,tt10084752,American Relapse,2018,69,6.8,20,American Relapse
627,tt10084778,Panorama: Jamming to the Top,2018,N/A,N/A,N/A,Panorama: Jamming to the Top
637,tt10085818,The Secret of the River,2018,N/A,N/A,N/A,The Secret of the River
639,tt10086164,5 PM (Lima Penjuru Masjid),2018,N/A,N/A,N/A,5 PM (Lima Penjuru Masjid)
644,tt10086764,MacGuffin,2018,N/A,N/A,N/A,MacGuffin
652,tt10087396,Hrudayat Something Something,2018,N/A,N/A,N/A,Hrudayat Something Something
654,tt10087464,Hollywood Salutes Israel,2018,N/A,N/A,N/A,Hollywood Salutes Israel
655,tt10087508,IAC My Story,2018,N/A,N/A,N/A,IAC My Story
656,tt10087550,De man van 85 miljoen,2018,N/A,N/A,N/A,De man van 85 miljoen
664,tt10089828,Fate Vobis,2018,N/A,N/A,N/A,Fate Vobis
665,tt10089942,Coeur de pierre,2018,N/A,N/A,N/A,Coeur de pierre
686,tt10092888,Svetlosti Tiha,2018,N/A,N/A,N/A,Svetlosti Tiha
687,tt10093086,Emilie,2018,N/A,N/A,N/A,Emilie
688,tt10093094,Aim,2018,N/A,N/A,N/A,Aim
690,tt10094548,The Rhythm of Blue,2018,N/A,N/A,N/A,The Rhythm of Blue
697,tt10095714,Millae: Good Brother,2018,N/A,N/A,N/A,Millae: Good Brother
700,tt10096224,Terrolun and Lunlun,2018,N/A,N/A,N/A,Terrolun and Lunlun
710,tt10097464,Butch Hartman's OAXIS Plan,2018,N/A,N/A,N/A,Butch Hartman's OAXIS Plan
712,tt10097482,Butch Hartman's Cult of Personality: OAXIS Discussion,2018,N/A,N/A,N/A,Butch Hartman's Cult of Personality: OAXIS Discussion
717,tt10097824,Use Me Tokiye Aur Rokiye,2018,N/A,N/A,N/A,Use Me Tokiye Aur Rokiye
