,ID,imdb_id,release_date,budget,revenue,genres,original_language,original_title,origin_country,production_countries name,spoken_languages name
3498,458504,tt6680752,2017-06-24,620000,940000,Drama,,ഒരു സിനിമാക്കാരന്‍,IN,India,
3570,461809,tt6711660,2017-08-25,1400000,2500000,Action,हिन्दी,बाबूमोशाय बन्दूकबाज़,IN,India,हिन्दी
3588,521753,tt6721132,2017-05-07,125000,78000,Documentary,English,Caffè Sospeso,AR,Argentina,English
3695,620788,tt6774196,,4000,7800,Crime,English,Rightways Down,US,United States of America,English
3704,437109,tt6777338,2017-06-08,125000,8737458,Drama,한국어/조선말,악녀,KR,South Korea,한국어/조선말
3908,441189,tt6857332,2017-01-18,1000000,2775228,Animation,한국어/조선말,터닝메카드W: 블랙미러의 부활,KR,South Korea,한국어/조선말
4067,348133,tt2664108,2014-06-26,600000,25574,Drama,Pусский,Да и да,RU,Russia,Pусский
4071,9373,tt0324216,2003-05-21,9500000,107071655,Horror,English,The Texas Chainsaw Massacre,US,United States of America,English
4136,467106,tt6967980,2017-08-17,2740700,8050806,Romance,हिन्दी,बरेली की बर्फी,IN,India,हिन्दी
4143,471892,tt6971752,2017-08-31,3425875,8838757, ,हिन्दी,शुभ मंगल सावधान, , , 
4154,556179,tt6975046,2017-05-19,4,2,Romance,বাংলা,Ami Je Ke Tomar,IN,India,বাংলা
4205,508466,tt6997426,2017-10-31,170000,22834,Documentary,English,Desenterrando Sad Hill,ES,Spain,English
4318,463238,tt7063130,2017-07-13,280000,1200000,Comedy,اردو,Mehrunisa V Lub U,PK,Pakistan,اردو
4360,460035,tt7085164,2017-11-07,1000000,173187,Drama,Pусский,Карп отмороженный,RU,Russia,Pусский
4535,397567,tt7160070,2017-12-14,18300000,125983972,Drama,한국어/조선말,신과함께-죄와 벌,KR,South Korea,한국어/조선말
4703,744289,tt7240130,2017-10-11,1250000,35423, ,English,PGS - Intuition is your Personal Guidance System, , , 
4791,672070,tt7278838,2017-08-14,2000,2000, , , , , , 
4911,857,tt0120815,1998-07-24,70000000,481840909,Drama,Český,Saving Private Ryan,US,United States of America,Český
5146,244941,tt1582637,2010-03-31,4600000,4100000, ,తెలుగు,వరుడు, , , 
5152,69416,,2003-03-03,500000,500000,Drama,தமிழ்,என்னை தாலாட்ட வருவாளா,IN,India,தமிழ்
5211,608440,tt7494122,2017-07-28,20,753, , , , , , 
5603,417859,tt0448694,2011-10-28,130000000,554987477,Action,Español,Puss in Boots,US,United States of America,Español
5704,33273,tt1242422,2009-11-06,5700000,19300483,Action,English,Celda 211,FR,France,English
5726,495120,tt7791106,2017-09-08,250000,225000, ,বাংলা,Shob Bhooturey, , , 
5857,180,tt0181689,2002-06-20,102000000,358372926,Action,English,Minority Report,US,United States of America,English
5868,528328,tt7938472,2017-12-28,12000,24000, , , , , , 
5928,598852,tt8000450,2017-10-15,7665,134444,Action,日本語,Oz Academy,JP,Japan,日本語
6091,431549,tt8333222,2017-02-06,160000,440000,Drama,Español,Reina Sin Corona,DO,Dominican Republic,Español
6169,462907,tt8532152,2017-02-02,15454,45150,Adventure,Español,Cebiche de Tiburón,PE,Peru,Español
6234,516979,tt8166164,2018-03-20,10000,10000,Comedy,فارسی,لونه زنبور,IR,Iran,فارسی
